ts,x,y,z
2025-09-28T06:28:56.991000Z,-0.305,0.854,-0.305
2025-09-28T06:29:01.343000Z,-0.122,0.916,-0.244
2025-09-28T06:29:01.655000Z,-0.244,0.854,-0.366
2025-09-28T06:29:02.276000Z,-0.366,0.854,-0.427
2025-09-28T06:29:02.623000Z,-1.221,0.854,-0.854
2025-09-28T06:29:02.977000Z,0.122,0.916,-0.183
2025-09-28T06:29:03.310000Z,-0.488,0.854,-0.488
2025-09-28T06:29:03.655000Z,-0.305,0.854,-0.366
2025-09-28T06:29:03.999000Z,-0.244,0.916,-0.427
2025-09-28T06:29:04.412000Z,-0.244,0.854,-0.244
2025-09-28T06:29:04.725000Z,-0.305,0.854,-0.305
2025-09-28T06:29:05.036000Z,-0.488,0.854,-0.427
2025-09-28T06:29:05.340000Z,-0.427,0.854,-0.549
2025-09-28T06:29:05.670000Z,-0.427,0.854,-0.427
2025-09-28T06:29:05.988000Z,-0.671,0.732,-0.549
2025-09-28T06:29:06.308000Z,0.244,0.977,0.0
2025-09-28T06:29:06.703000Z,-0.122,0.916,-0.366
2025-09-28T06:29:07.027000Z,0.0,0.977,-0.427
2025-09-28T06:29:07.350000Z,-0.244,0.916,-0.244
2025-09-28T06:29:07.659000Z,-0.427,0.732,-0.366
2025-09-28T06:29:08.026000Z,-0.305,0.916,-0.305
2025-09-28T06:29:08.335000Z,-0.427,0.854,-0.549
2025-09-28T06:29:08.740000Z,-0.061,0.854,-0.427
2025-09-28T06:29:09.139000Z,-0.305,0.854,-0.427
2025-09-28T06:29:09.638000Z,-0.427,0.854,-0.366
2025-09-28T06:29:09.997000Z,-0.244,0.916,-0.305
2025-09-28T06:29:10.383000Z,-0.488,0.916,-0.427
2025-09-28T06:29:10.830000Z,-0.366,0.854,-0.488
2025-09-28T06:29:11.163000Z,-0.183,0.916,-0.427
2025-09-28T06:29:11.490000Z,-0.305,0.916,-0.427
2025-09-28T06:29:12.129000Z,-0.305,0.854,-0.366
2025-09-28T06:29:12.471000Z,-0.427,0.916,-0.305
2025-09-28T06:29:13.163000Z,-0.061,0.916,-0.427
2025-09-28T06:29:13.500000Z,-0.488,0.854,-0.427
2025-09-28T06:29:14.184000Z,-0.549,0.854,-0.366
2025-09-28T06:29:14.517000Z,-0.061,0.977,-0.427
2025-09-28T06:29:15.114000Z,-0.671,0.854,-0.549
2025-09-28T06:29:15.635000Z,-0.488,0.854,-0.61
2025-09-28T06:29:16.054000Z,0.977,1.099,-0.305
2025-09-28T06:29:16.442000Z,-0.122,0.916,0.244
2025-09-28T06:29:16.848000Z,-0.854,0.854,-0.671
2025-09-28T06:29:17.268000Z,-1.709,0.305,-0.427
2025-09-28T06:29:18.082000Z,-0.244,0.854,-0.488
2025-09-28T06:29:18.823000Z,-0.61,0.793,-0.305
2025-09-28T06:29:19.160000Z,-1.648,0.61,-0.061
2025-09-28T06:29:19.464000Z,-0.671,0.854,-0.427
2025-09-28T06:29:19.776000Z,-0.366,0.793,-0.427
2025-09-28T06:29:20.259000Z,-0.244,0.793,-0.366
2025-09-28T06:29:20.742000Z,-1.892,0.061,-6.226
2025-09-28T06:29:21.784000Z,-2.197,2.014,-2.014
2025-09-28T06:29:22.095000Z,-0.549,0.854,-0.61
2025-09-28T06:29:22.842000Z,-0.366,0.854,-0.549
2025-09-28T06:29:23.151000Z,-0.916,0.732,-0.549
2025-09-28T06:29:23.473000Z,0.244,0.977,0.183
2025-09-28T06:29:23.833000Z,-0.366,0.854,-0.549
2025-09-28T06:29:24.630000Z,-0.183,0.854,-0.366
2025-09-28T06:29:25.094000Z,-0.183,0.916,-0.183
2025-09-28T06:29:25.664000Z,-0.122,0.854,-0.305
2025-09-28T06:29:26.076000Z,-0.488,0.854,-0.793
2025-09-28T06:29:26.484000Z,-0.366,0.854,-0.305
2025-09-28T06:29:26.896000Z,-0.122,0.916,-0.183
2025-09-28T06:29:27.297000Z,-0.305,0.793,-0.488
2025-09-28T06:29:28.336000Z,-0.244,0.854,-0.488
2025-09-28T06:29:28.640000Z,-0.61,0.793,-0.244
2025-09-28T06:29:29.348000Z,0.122,0.977,-0.183
2025-09-28T06:29:29.658000Z,-0.488,0.854,-0.671
2025-09-28T06:29:30.174000Z,-0.427,0.854,-0.366
2025-09-28T06:29:30.574000Z,0.488,0.977,-0.061
2025-09-28T06:29:30.998000Z,-0.305,0.854,-0.366
2025-09-28T06:29:31.385000Z,-0.854,0.854,-0.732
2025-09-28T06:29:32.212000Z,-2.136,0.854,-2.197
2025-09-28T06:29:32.636000Z,-0.061,0.122,-0.549
2025-09-28T06:29:33.035000Z,1.526,1.587,-0.793
2025-09-28T06:29:33.444000Z,0.305,1.038,0.0
2025-09-28T06:29:33.848000Z,-0.244,0.732,0.061
2025-09-28T06:29:34.413000Z,-0.549,0.793,-0.793
2025-09-28T06:29:34.975000Z,0.061,0.916,-0.244
2025-09-28T06:29:35.391000Z,-0.305,0.854,-0.61
2025-09-28T06:29:35.944000Z,-0.061,0.854,-0.366
2025-09-28T06:29:36.571000Z,-0.732,0.793,-1.038
2025-09-28T06:29:37.212000Z,-0.305,0.793,-0.549
2025-09-28T06:29:37.743000Z,-0.61,0.854,-0.977
2025-09-28T06:29:38.174000Z,-0.366,0.793,0.183
2025-09-28T06:29:38.664000Z,0.671,1.099,-0.549
2025-09-28T06:29:39.178000Z,-0.305,0.916,-0.488
2025-09-28T06:29:39.589000Z,0.061,0.916,-0.366
2025-09-28T06:29:40.215000Z,0.427,0.977,0.061
2025-09-28T06:29:40.602000Z,-0.488,0.854,-0.916
2025-09-28T06:29:41.070000Z,0.122,0.977,-0.244
2025-09-28T06:29:41.427000Z,-0.549,-0.854,2.136
2025-09-28T06:29:42.458000Z,2.014,1.465,0.549
2025-09-28T06:29:42.770000Z,0.061,2.014,-0.305
2025-09-28T06:29:43.523000Z,0.427,0.916,0.0
2025-09-28T06:29:43.909000Z,-0.305,0.854,-0.427
2025-09-28T06:29:44.414000Z,0.671,0.977,-0.061
2025-09-28T06:29:44.901000Z,1.953,5.188,0.793
2025-09-28T06:29:45.317000Z,0.427,1.099,-0.183
2025-09-28T06:29:45.734000Z,-0.183,0.916,-0.305
2025-09-28T06:29:46.155000Z,-0.488,0.793,-0.305
2025-09-28T06:29:46.555000Z,-0.061,0.916,-0.183
2025-09-28T06:29:47.367000Z,-0.183,0.916,-0.366
2025-09-28T06:29:47.766000Z,-0.122,0.916,-0.366
2025-09-28T06:29:48.187000Z,-0.427,0.854,-0.549
2025-09-28T06:29:48.599000Z,-0.183,0.916,-0.305
2025-09-28T06:29:48.999000Z,-0.366,0.854,-0.427
2025-09-28T06:29:50.191000Z,-0.183,0.854,-0.305
2025-09-28T06:29:50.524000Z,-0.305,0.916,-0.427
2025-09-28T06:29:50.862000Z,-0.061,0.916,-0.366
2025-09-28T06:29:51.162000Z,-0.122,0.916,-0.305
2025-09-28T06:29:52.075000Z,-0.366,0.854,-0.366
2025-09-28T06:29:52.399000Z,-0.427,0.854,-0.488
2025-09-28T06:29:52.894000Z,-0.183,0.854,-0.366
2025-09-28T06:29:53.304000Z,-0.183,0.854,-0.305
2025-09-28T06:29:53.720000Z,-0.183,0.916,-0.305
2025-09-28T06:29:54.124000Z,-0.366,0.854,-0.549
2025-09-28T06:29:54.949000Z,-0.305,0.916,-0.305
2025-09-28T06:29:55.354000Z,-0.183,0.916,-0.366
2025-09-28T06:29:55.764000Z,-0.183,0.854,-0.305
2025-09-28T06:29:56.261000Z,-0.061,0.916,-0.305
2025-09-28T06:29:56.791000Z,-0.183,0.916,-0.244
2025-09-28T06:29:57.199000Z,0.0,0.916,-0.183
2025-09-28T06:29:57.602000Z,-0.183,0.977,-0.427
2025-09-28T06:29:58.629000Z,-0.061,0.916,-0.366
2025-09-28T06:29:58.957000Z,-0.549,0.793,-0.305
2025-09-28T06:29:59.662000Z,-0.366,0.854,-0.427
2025-09-28T06:30:00.008000Z,-0.061,0.977,-0.244
2025-09-28T06:30:00.464000Z,-0.366,0.854,-0.366
2025-09-28T06:30:00.884000Z,-0.122,0.854,-0.305
2025-09-28T06:30:01.286000Z,-0.305,0.854,-0.427
2025-09-28T06:30:01.720000Z,-0.244,0.916,-0.366
2025-09-28T06:30:03.134000Z,-0.061,0.854,-0.244
2025-09-28T06:30:03.457000Z,-0.61,0.793,-0.977
2025-09-28T06:30:03.824000Z,0.183,0.916,0.488
2025-09-28T06:30:04.168000Z,-0.427,1.099,-0.732
2025-09-28T06:30:04.487000Z,-0.488,0.854,-0.305
2025-09-28T06:30:05.231000Z,0.305,0.977,-0.122
2025-09-28T06:30:05.571000Z,-0.122,0.916,-0.305
2025-09-28T06:30:06.209000Z,0.122,0.977,-0.244
2025-09-28T06:30:06.530000Z,-0.183,0.916,-0.244
2025-09-28T06:30:07.237000Z,0.183,0.916,-0.488
2025-09-28T06:30:07.544000Z,-0.549,0.793,-0.366
2025-09-28T06:30:08.263000Z,-0.488,0.854,-0.366
2025-09-28T06:30:08.572000Z,-0.061,0.916,-0.244
2025-09-28T06:30:09.370000Z,-0.122,0.916,-0.305
2025-09-28T06:30:09.695000Z,-0.305,0.854,-0.366
2025-09-28T06:30:10.044000Z,0.244,0.916,-0.183
2025-09-28T06:30:10.500000Z,-0.427,0.916,-0.427
2025-09-28T06:30:10.931000Z,-0.427,0.793,-0.427
2025-09-28T06:30:11.332000Z,-0.061,0.854,-0.366
2025-09-28T06:30:11.741000Z,-0.122,0.854,-0.366
2025-09-28T06:30:12.770000Z,-0.061,0.916,-0.366
2025-09-28T06:30:13.289000Z,0.244,0.916,-0.427
2025-09-28T06:30:14.154000Z,-0.305,0.793,-0.244
2025-09-28T06:30:14.795000Z,-0.183,0.854,-0.305
2025-09-28T06:30:15.133000Z,-0.244,0.854,-0.305
2025-09-28T06:30:15.428000Z,-0.122,0.916,-0.305
2025-09-28T06:30:15.729000Z,-0.671,0.732,-0.366
2025-09-28T06:30:16.049000Z,-0.061,0.854,-0.366
2025-09-28T06:30:16.470000Z,-0.732,0.793,-0.427
2025-09-28T06:30:16.873000Z,-0.427,0.854,-0.427
2025-09-28T06:30:17.928000Z,-0.427,0.854,-0.366
2025-09-28T06:30:18.271000Z,-0.61,0.854,-0.427
2025-09-28T06:30:18.970000Z,-0.244,0.854,-0.305
2025-09-28T06:30:19.288000Z,-0.488,0.732,-0.366
2025-09-28T06:30:19.611000Z,0.122,0.916,0.0
2025-09-28T06:30:20.133000Z,0.305,0.977,-0.061
2025-09-28T06:30:20.542000Z,0.0,0.916,-0.488
2025-09-28T06:30:20.954000Z,0.427,0.977,-0.244
2025-09-28T06:30:21.371000Z,-0.305,0.854,-0.366
2025-09-28T06:30:22.377000Z,-0.61,0.793,-0.427
2025-09-28T06:30:22.724000Z,-0.244,0.916,-0.427
2025-09-28T06:30:23.415000Z,-0.122,0.916,-0.244
2025-09-28T06:30:23.724000Z,-0.427,0.854,-0.488
2025-09-28T06:30:24.440000Z,-0.183,0.916,-0.427
2025-09-28T06:30:24.767000Z,-0.183,0.854,-0.183
2025-09-28T06:30:25.374000Z,-0.183,0.916,-0.305
2025-09-28T06:30:25.865000Z,-0.061,0.916,-0.244
2025-09-28T06:30:26.281000Z,-0.366,0.854,-0.549
2025-09-28T06:30:26.687000Z,0.0,0.854,-0.305
2025-09-28T06:30:27.099000Z,-0.977,0.793,-0.61
2025-09-28T06:30:27.515000Z,0.061,0.916,-0.122
2025-09-28T06:30:27.910000Z,-0.305,0.854,-0.427
2025-09-28T06:30:28.940000Z,-0.488,0.854,-0.366
2025-09-28T06:30:29.312000Z,-0.183,0.916,-0.183
2025-09-28T06:30:29.970000Z,-0.366,0.793,0.244
2025-09-28T06:30:30.287000Z,0.061,0.977,-0.122
2025-09-28T06:30:31.007000Z,-0.244,0.916,-0.366
2025-09-28T06:30:31.315000Z,-0.305,0.793,-0.488
2025-09-28T06:30:31.791000Z,-0.732,0.793,-0.916
